編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2011/10/18 下午 05:00:00,121.87,24.47,22,3.2,宜蘭縣政府南偏東方  30.4  公里 (位於宜蘭縣近海)
小區域,2011/10/18 上午 07:48:00,121.04,23.27,3.3,3,台東縣政府北偏西方  58.6  公里 (位於台東縣海端鄉)
小區域,2011/10/17 上午 10:59:00,121.47,24.37,8.9,2.9,花蓮縣政府北偏西方  44.3  公里 (位於宜蘭縣南澳鄉)
小區域,2011/10/17 上午 02:30:00,121.38,21.95,4.8,3.3,台東縣政府南偏東方  92.3  公里 (位於台灣東南部海域)
小區域,2011/10/16 下午 05:36:00,122.02,24.79,86.2,4.2,宜蘭縣政府東偏北方  26.6  公里 (位於台灣東部海域)
小區域,2011/10/13 上午 08:13:00,121.91,24.43,20.3,3,宜蘭縣政府南偏東方  37.0  公里 (位於台灣東部海域)
小區域,2011/10/12 下午 04:35:00,121.69,24.4,22.8,2.8,宜蘭縣政府南偏西方  37.9  公里 (位於宜蘭縣南澳鄉)
小區域,2011/10/12 下午 03:40:00,121.09,23.1,5.4,3.6,台東縣政府北方  39.2  公里 (位於台東縣海端鄉)
小區域,2011/10/12 下午 02:43:00,121.67,23.92,6.7,2.9,花蓮縣政府東南方  9.5  公里 (位於花蓮縣近海)
小區域,2011/10/12 上午 11:45:00,120.56,23.54,10.4,2.8,嘉義市政府東偏北方  12.6  公里 (位於嘉義縣梅山鄉)
100142   ,2011/10/12 上午 10:14:00,121.34,24.71,9.4,3.8,桃園縣政府南方  31.7  公里 (位於桃園縣復興鄉)
小區域,2011/10/11 下午 11:12:00,121.77,24.33,5.9,2.7,花蓮縣政府北偏東方  40.6  公里 (位於宜蘭縣近海)
小區域,2011/10/11 下午 03:21:00,120.47,23.48,8.5,2.3,嘉義市政府東偏南方  1.4  公里 (位於嘉義市東區)
小區域,2011/10/11 下午 02:23:00,121.76,24.35,7.2,2.6,花蓮縣政府北偏東方  41.9  公里 (位於宜蘭縣南澳鄉)
